file,ente,data_riferimento,tema,caption_num,caption_title,page,anchor,col_index,header_above,valore_raw,valore_num,unit_guess,quality_flag
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Ovest,0,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,504.279,504279,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Ovest,1,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,269.580,269580,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Ovest,2,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,195.577,195577,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Ovest,3,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"53,5",53.5,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Ovest,4,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"38,8",38.8,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Ovest,5,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"72,5",72.5,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Est,0,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,484.128,484128,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Est,1,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,289.809,289809,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Est,2,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,203.817,203817,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Est,3,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"59,9",59.9,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Est,4,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"42,1",42.1,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Nord-Est,5,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"70,3",70.3,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Centro,0,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,463.745,463745,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Centro,1,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,257.758,257758,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Centro,2,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,178.196,178196,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Centro,3,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"55,6",55.6,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Centro,4,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"38,4",38.4,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Centro,5,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"69,1",69.1,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Sud e Isole,0,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,1.248.992,1248992,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Sud e Isole,1,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,547.590,547590,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Sud e Isole,2,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,334.133,334133,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Sud e Isole,3,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"43,8",43.8,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Sud e Isole,4,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"26,8",26.8,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Sud e Isole,5,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"61,0",61.0,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Totale,0,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,2.701.144,2701144,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Totale,1,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,1.364.737,1364737,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Totale,2,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,911.723,911723,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Totale,3,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"50,5",50.5,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Totale,4,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"33,8",33.8,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.4,Esiti occupazionali ad un anno dalla presa in carico per area geografica (v.a. e %),22,Totale,5,Tasso di | Presi in Occupati nei 365 Di cui: con Tasso di occupazione Incidenza | carico al giorni dalla occupazione occupazione stabile nei lavoro | 31.10.2024 presa in carico stabile nei 365 giorni 365 giorni stabile | (A) (B) (C) (B/A) (%) (C/A) (%) (C/B) (%) | Area geografica,"66,8",66.8,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Ovest,0,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,301.012,301012,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Ovest,1,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,113.538,113538,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Ovest,2,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,72.039,72039,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Ovest,3,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"37,7",37.7,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Ovest,4,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"23,9",23.9,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Ovest,5,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"63,4",63.4,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Est,0,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,472.401,472401,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Est,1,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,213.919,213919,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Est,2,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,146.136,146136,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Est,3,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"45,3",45.3,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Est,4,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"30,9",30.9,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Nord-Est,5,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"68,3",68.3,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Centro,0,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,313.617,313617,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Centro,1,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,151.831,151831,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Centro,2,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,105.806,105806,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Centro,3,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"48,4",48.4,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Centro,4,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"33,7",33.7,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Centro,5,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"69,7",69.7,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Sud e Isole,0,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,615.408,615408,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Sud e Isole,1,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,192.153,192153,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Sud e Isole,2,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,112.546,112546,count,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Sud e Isole,3,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"31,2",31.2,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Sud e Isole,4,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"18,3",18.3,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Sud e Isole,5,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,"58,6",58.6,percent,best_effort
2025/INAPP_Focus-GOL_13-2025.pdf,INAPP,2025-10-31,L,2.5,Esiti occupazionali nei 6 mesi dalla conclusione della PAL per area geografica (v.a. e val.%),25,Totale,0,Presi in carico Tasso di | Occupati nei 180 Di cui: con Tasso di Incidenza | con PAL occupazione | giorni dalla occupazione occupazione occupazione | conclusa entro stabile nei 180 | conclusione PAL stabile nei 180 giorni stabile | il 30/04/2025 giorni | (B) (C) (B/A) % (C/B) % | (A) (C/A) %,1.702.438,1702438,count,best_effort
